       0.2 0.00883014 	0.000869067  2.411e-05 0.000153381 0.000173802 2.16746e-05 0.000143377 
       0.4  0.0371526 	0.00698145 0.000385878 0.00241122 0.00279185 0.000347031 0.00225729 
       0.6  0.0892598 	 0.0233824 0.00192615  0.0116834  0.0140213 0.00173333  0.0109641 
       0.8   0.171189 	 0.0543741 0.00591817  0.0344472  0.0434548 0.00533044  0.0324336 
         1   0.274397 	 0.0974752  0.0131062   0.072395  0.0973219  0.0118182  0.0684423 
       1.2   0.370428 	  0.135075  0.0257745    0.13369   0.134775  0.0232743   0.126993 
       1.4   0.468558 	  0.175973  0.0449135    0.21662   0.175453  0.0406251   0.206859 
       1.6   0.564532 	  0.218957  0.0715184   0.317901   0.218133  0.0648161   0.305293 
       1.8   0.655101 	  0.262936   0.106181   0.431629   0.261719  0.0964453   0.416932 
         2   0.738084 	  0.306984   0.149048   0.550556   0.305283    0.13572   0.534913 
       2.2   0.812289 	  0.350353   0.199823   0.667475    0.34808   0.182459   0.652167 
       2.4   0.877323 	  0.392478   0.257819   0.776349   0.389551   0.236129   0.762541 
       2.6   0.933376 	  0.432958   0.322026    0.87298   0.429303   0.295901   0.861527 
       2.8   0.980998 	  0.471528   0.391198   0.955164   0.467083   0.360724   0.946519 
         3    1.02092 	  0.508037   0.463934    1.02245   0.502748   0.429389    1.01668 
       3.2    1.05394 	  0.542416   0.538763    1.07569    0.53624   0.500602    1.07254 
       3.4    1.08082 	  0.574655   0.614208    1.11647   0.567563    0.57304    1.11551 
       3.6    1.10226 	  0.604787   0.688853    1.14669   0.596757   0.645406    1.14742 
       3.8     1.1189 	   0.63287   0.761379    1.16824   0.623891   0.716467    1.17017 
         4    1.13131 	   0.65898   0.830614     1.1828   0.649052   0.785094     1.1855 
       4.2       1.14 	  0.683202    0.89555    1.19177   0.672334   0.850285    1.19491 
       4.4    1.14544 	  0.705628   0.955367    1.19626   0.693836    0.91119    1.19961 
       4.6    1.14808 	  0.726353    1.00944    1.19717    0.71366   0.967123    1.20056 
       4.8    1.14831 	  0.745471    1.05734    1.19522   0.731911    1.01757    1.19854 
         5    1.14653 	  0.763079    1.09883    1.19097   0.748688    1.06218    1.19417 
       5.2    1.14307 	  0.779271    1.13386    1.18491   0.764094    1.10077    1.18794 
       5.4    1.13828 	  0.794141    1.16252    1.17745   0.778224    1.13333    1.18029 
       5.6    1.13244 	  0.807781    1.18505    1.16893   0.791175    1.15995    1.17158 
       5.8    1.12581 	  0.820278    1.20182    1.15966   0.803038    1.18088    1.16212 
         6    1.11865 	  0.831719    1.21327    1.14991   0.813899    1.19644    1.15218 
       6.2    1.11114 	  0.842187    1.21992    1.13991   0.823843    1.20706    1.14199 
       6.4    1.10346 	  0.851758    1.22231    1.12984   0.832947    1.21319    1.13175 
       6.6    1.09577 	  0.860509    1.22103    1.11986   0.841285    1.21535    1.12161 
       6.8    1.08818 	  0.868508    1.21665    1.11011   0.848926    1.21406    1.11169 
         7    1.08079 	  0.875822    1.20973    1.10068   0.855935    1.20984    1.10212 
       7.2    1.07367 	  0.882512    1.20078    1.09165    0.86237    1.20322    1.09295 
       7.4    1.06688 	  0.888635    1.19031    1.08308   0.868286    1.19466    1.08425 
       7.6    1.06044 	  0.894243    1.17874    1.07501   0.873732    1.18463    1.07606 
       7.8     1.0544 	  0.899384    1.16647    1.06744   0.878754    1.17352    1.06838 
         8    1.04876 	  0.904104    1.15383    1.06039   0.883394    1.16172    1.06123 
       8.2    1.04351 	  0.908441    1.14109    1.05386   0.887689    1.14952     1.0546 
       8.4    1.03866 	  0.912434     1.1285    1.04783   0.891672    1.13721    1.04849 
       8.6    1.03419 	  0.916114    1.11624    1.04228   0.895373    1.12499    1.04286 
